Date,ATO,DIS,MAA,D,BR,DOC,DVN,ED,ZTS,CPAY,MAR,AMCR,MPWR,OMC,CARR,EIX,CSCO,GOOGL,CRM,PNR,PAYX,PTC,LULU,WEC,LHX,CTAS,ACN,SWKS,NRG,OTIS,IVZ,META,LYB,WST,DTE,MTB,REGN,ROP,CMI,LYV,MOH,WYNN,V,VZ,FSLR,ABBV,HAS
2019-11-07,108.18000030517578,132.9600067138672,135.25999450683594,80.30999755859375,120.4800033569336,33.63999938964844,22.68000030517578,87.220001220703125,121.02999877929688,296.5799865722656,133.05999755859375,9.779999732971191,163.36000061035156,80.2699966430664,NA,65.69000244140625,48.41999816894531,65.34700012207031,159.5,43.150001525878906,82.87999725341797,72.80000305175781,202.82000732421875,88.87000274658203,194.8800048828125,65.5,189.08999633789063,98.63999938964844,40.040000915527344,NA,18.18000030517578,190.4199981689453,97.48999786376953,147.7899932861328,103.6425552368164,166.8300018310547,326.3900146484375,340.3299865722656,182.52999877929688,62.66999816894531,121.41999816894531,125.48999786376953,178.42999267578125,60.529998779296875,52.630001068115234,82.01000213623047,95.20999908447266
2019-11-08,107.31999969482422,137.9600067138672,133.99000549316406,80.279998779296875,119.58000183105469,33.689998626708984,22.90999984741211,87.91999816894531,117.86000061035156,293.45001220703125,133.1999969482422,9.770000457763672,165.0399932861328,80.7699966430664,NA,66.30000305175781,48.83000183105469,65.44999694824219,161.11000061035156,43.369998931884766,83.25,73.2300033569336,204.1300048828125,87.83000183105469,196.02000427246094,65.220001220703125,189.6999969482422,100.44000244140625,38.439998626708984,NA,17.81999969482422,190.83999633789063,97.38999938964844,147.72999572753906,102.544677734375,167.58999633789063,341.7900085449219,337.5,186.27000427246094,63.15999984741211,126.18000030517578,126.47000122070313,178.97000122070313,59.349998474121094,51.970001220703125,85.20999908447266,95.529998779296875
2019-11-11,107.51000213623047,136.74000549316406,132.89999389648438,79.62000274658203,118.62000274658203,33.40999984741211,22.530000686645508,87.5,117.02999877929688,291,131.75,9.8100004196167,163.89999389648438,79.11000061035156,NA,66.30999755859375,48.099998474121094,64.91400146484375,161.77999877929688,43.130001068115234,82.83000183105469,73.18000030517578,207.19000244140625,87.13999938964844,195.16000366210938,65.152496337890625,190.05999755859375,100.37999725341797,38.540000915527344,NA,17.639999389648438,189.61000061035156,97.19000244140625,147.35000610351563,102.73191833496094,166.66000366210938,344.2799987792969,337.94000244140625,186.44000244140625,64.470001220703125,121.91000366210938,121.62000274658203,179.5399932861328,59.61000061035156,52.47999954223633,85.660003662109375,95.51000213623047
2019-11-12,107,138.5800018310547,131.58999633789063,79.720001220703125,118.2300033569336,33.25,22.3700008392334,86.41999816894531,117.19999694824219,290.7300109863281,132.52999877929688,9.829999923706055,162.5500030517578,79.089996337890625,NA,66.839996337890625,48.369998931884766,64.8604965209961,162.86000061035156,43.13999938964844,83.04000091552734,73.2699966430664,207.80999755859375,87.18000030517578,198.19000244140625,64.7125015258789,191.42999267578125,101.58999633789063,38.7400016784668,NA,17.600000381469727,194.47000122070313,96.58000183105469,147.55999755859375,102.61276245117188,165.47999572753906,348.4100036621094,343.2799987792969,184.08999633789063,64.73999786376953,122.5999984741211,120.73999786376953,179.74000549316406,59.31999969482422,52.970001220703125,86.44000244140625,94.4000015258789
2019-11-13,109.12000274658203,148.72000122070313,134.64999389648438,80.839996337890625,118.87000274658203,33.90999984741211,21.6200008392334,87.5,116.44999694824219,291.010009765625,133.64999389648438,9.859999656677246,160.27000427246094,77.98999786376953,NA,68.11000061035156,48.459999084472656,64.80899810791016,162.60000610351563,43.04999923706055,83.529998779296875,74.19000244140625,211.11000061035156,87.81999969482422,199.22999572753906,63.810001373291016,194.5,101.13999938964844,38.790000915527344,NA,17.420000076293945,193.19000244140625,95.26000213623047,148.2100067138672,104.3574447631836,163.17999267578125,348.29998779296875,348.5899963378906,180.69000244140625,64.61000061035156,121.5999984741211,118.83999633789063,179.41000366210938,59.40999984741211,53.09000015258789,86.660003662109375,94
2019-11-14,109.56999969482422,147.14999389648438,136.72000122070313,81.55999755859375,119.37000274658203,33.9900016784668,21.84000015258789,87.23999786376953,116.25,293.4100036621094,134.5500030517578,9.949999809265137,160.1300048828125,78.55999755859375,NA,69.68000030517578,44.90999984741211,65.4574966430664,163.0500030517578,43.09000015258789,84.470001220703125,73.63999938964844,213.22000122070313,88.12000274658203,199.75999450683594,64.839996337890625,196.25,98.75,39.40999984741211,NA,17.280000686645508,193.14999389648438,95.87999725341797,148.69000244140625,105.28510284423828,163.11000061035156,338.3900146484375,349.1400146484375,180.83999633789063,64.970001220703125,122.19999694824219,118.68000030517578,179.75,59.34000015258789,52.540000915527344,87.62999725341797,95.33000183105469
2019-11-15,109.48999786376953,144.6699981689453,138.3300018310547,82.11000061035156,119.80000305175781,34.45000076293945,22.559999465942383,87.7300033569336,117.91999816894531,297.3399963378906,135.52000427246094,10.020000457763672,162.5,78.79000091552734,NA,70.0999984741211,45.09000015258789,66.677001953125,163.2100067138672,43.47999954223633,84.69999694824219,74.089996337890625,215.91000366210938,88.06999969482422,202.52000427246094,64.029998779296875,196.80999755859375,99.41999816894531,39.79999923706055,NA,17.450000762939453,195.10000610351563,96,150.14999389648438,105.39574432373047,163.97000122070313,344.8699951171875,345.6400146484375,184,65.4000015258789,129.6999969482422,117.69999694824219,179.77000427246094,59.5099983215332,53.36000061035156,88.62999725341797,95.410003662109375
2019-11-18,109.29000091552734,147.64999389648438,137.6699981689453,82.58000183105469,120.58999633789063,34.75,21.959999084472656,87.470001220703125,118.80000305175781,298.489990234375,135.67999267578125,10.020000457763672,161.1300048828125,78.23999786376953,NA,69.5,45.150001525878906,65.99199676513672,162.77000427246094,43.369998931884766,85.05999755859375,72.80999755859375,218.4600067138672,87.94999694824219,202.74000549316406,64.035003662109375,198.02000427246094,97.44999694824219,39.79999923706055,NA,17.3700008392334,197.39999389648438,94.91999816894531,149.1300048828125,105.10638427734375,162.97000122070313,340.19000244140625,341.6400146484375,183.4600067138672,66.87999725341797,134.47999572753906,120.1500015258789,179.66000366210938,59.439998626708984,53.150001525878906,88.7300033569336,95.36000061035156
2019-11-19,108.63999938964844,148.3800048828125,137.38999938964844,82.41999816894531,122.05000305175781,35,21.489999771118164,86.87999725341797,120.33000183105469,301.9200134277344,135.47000122070313,10.140000343322754,161.75999450683594,78.66999816894531,NA,68.86000061035156,45.470001220703125,65.62950134277344,163.9600067138672,43.29999923706055,85.79000091552734,73.5,216.8800048828125,88.12999725341797,203.14999389648438,64.4749984741211,198.33999633789063,96.61000061035156,39.38999938964844,NA,17.520000457763672,199.32000732421875,93.05999755859375,149.72000122070313,105.2170181274414,162.8800048828125,344.4599914550781,349.9599914550781,182.9600067138672,68.220001220703125,135.4600067138672,120.25,182.77000427246094,59.5,54.59000015258789,89.0199966430664,95.25
2019-11-20,108.79000091552734,146.92999267578125,137.44000244140625,82.9000015258789,122.44000244140625,35.09000015258789,21.950000762939453,87.30999755859375,119.55999755859375,301,132.7100067138672,9.829999923706055,159.14999389648438,77.5,NA,70.91999816894531,45.08000183105469,65.09300231933594,164.1999969482422,43.18000030517578,85.75,74.93000030517578,217.0399932861328,88.19999694824219,204.80999755859375,64.86499786376953,197.7100067138672,96.04000091552734,39.63999938964844,NA,17.190000534057617,197.50999450683594,92.2300033569336,149.60000610351563,105.61701965332031,162.97000122070313,344.239990234375,353.0799865722656,180.6199951171875,67.70999908447266,135.52999877929688,117.55000305175781,181.66000366210938,59.47999954223633,54.31999969482422,87.19999694824219,94.910003662109375
